Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1273,807,773,894,743,118,4372,-16184,-640,-1028,-22,-84
1276,805,774,885,750,122,4360,-16164,-512,-1049,-3,-89
1279,806,767,887,738,115,4428,-16108,-588,-1066,-6,-87
1282,810,765,891,739,117,4480,-16204,-620,-1068,-33,-67
1285,800,771,890,744,117,4508,-16164,-728,-1086,-51,-79
1288,811,769,887,739,122,4508,-16056,-532,-1111,-62,-82
1291,811,775,896,740,118,4468,-16228,-568,-1111,-53,-90
1294,809,768,889,747,116,4488,-16224,-680,-1110,-34,-58
1297,807,768,895,743,116,4580,-16196,-604,-1087,-32,-50
1300,811,770,892,745,117,4588,-16276,-556,-1080,19,-49
1303,807,770,891,741,119,4568,-16284,-636,-1084,24,-53
1306,816,768,895,745,124,4388,-16364,-660,-1052,45,-51
1309,813,772,894,742,124,4496,-16320,-472,-1053,49,-37
1312,809,768,893,745,116,4364,-16284,-536,-1031,93,-41
1315,818,757,890,746,114,4304,-16292,-560,-1014,85,-32
1318,810,779,895,745,119,4356,-16316,-564,-983,73,-36
